Order ID,Category,Sub Category,Region,City,State,Sales,Cost,Quantity,Profit,Profit Margin %,Discount,Order Date,,,,,,,,
ORD00001,Beverages,Soft Drinks,West,Guntur,Andhra Pradesh,27934,23268.55,112,4665.45,16.7,0.241333333,4/3/2024,,,,,,,,
ORD00002,Beverages,Health Drinks,West,Ballari,Andhra Pradesh,25515,20412.97,102,5102.03,20,0.21,12/5/2024,,,,,,,,
ORD00003,Beverages,Soft Drinks,East,Guntur,Andhra Pradesh,25267,17018.93,101,8248.07,32.64,0.272941176,1/8/2024,,,,,,,,
ORD00004,Beverages,Health Drinks,West,Ramanadhapuram,Andhra Pradesh,22136,17184.81,89,4951.19,22.37,0.216428571,10/23/2024,,,,,,,,
ORD00005,Beverages,Health Drinks,West,Vellore,Andhra Pradesh,22042,15072.72,88,6969.28,31.62,0.256923077,9/3/2024,,,,,,,,
ORD00006,Snacks,Cookies,West,Dharmavaram,Andhra Pradesh,21939,16660.06,88,5278.94,24.06,0.208571429,10/11/2024,,,,,,,,
ORD00007,Beverages,Health Drinks,West,Kurnool,Andhra Pradesh,21854,15986.18,87,5867.82,26.85,0.221875,5/24/2022,,,,,,,,
ORD00008,Oil & Masala,Spices,West,Vellore,Andhra Pradesh,21598,18209.05,86,3388.95,15.69,0.219166667,4/23/2024,,,,,,,,
ORD00009,Bakery,Breads & Buns,East,Cumbum,Andhra Pradesh,21554,14775.07,86,6778.93,31.45,0.270769231,6/28/2024,,,,,,,,
ORD00010,Beverages,Health Drinks,West,Vizag,Andhra Pradesh,21082,15337.27,84,5744.73,27.25,0.196153846,5/10/2023,,,,,,,,
ORD00011,Bakery,Cakes,East,Dhone,Andhra Pradesh,21035,17302.09,84,3732.91,17.75,0.213636364,2/23/2022,,,,,,,,
ORD00012,Beverages,Health Drinks,West,Kodmur,Andhra Pradesh,20887,14602.12,84,6284.88,30.09,0.225,12/11/2023,,,,,,,,
ORD00013,Beverages,Health Drinks,East,Kurnool,Andhra Pradesh,20642,14944.34,83,5697.66,27.6,0.250666667,5/21/2024,,,,,,,,
ORD00014,Beverages,Soft Drinks,West,Anathapuram,Andhra Pradesh,20145,15543.22,81,4601.78,22.84,0.211538462,12/25/2022,,,,,,,,
ORD00015,Beverages,Soft Drinks,East,Thanda,Andhra Pradesh,20015,13557.68,80,6457.32,32.26,0.220769231,2/17/2023,,,,,,,,
ORD00016,Beverages,Soft Drinks,Central,Prakasham,Andhra Pradesh,19499,14697.42,78,4801.58,24.62,0.219166667,11/15/2024,,,,,,,,
ORD00017,Beverages,Soft Drinks,Central,Ongole,Andhra Pradesh,19443,13135.61,78,6307.39,32.44,0.2275,1/28/2024,,,,,,,,
ORD00018,Beverages,Soft Drinks,West,Adoni,Andhra Pradesh,19259,13907.16,77,5351.84,27.79,0.190909091,8/7/2023,,,,,,,,
ORD00019,Beverages,Soft Drinks,Central,Vellore,Andhra Pradesh,18954,14143.29,76,4810.71,25.38,0.258181818,1/25/2023,,,,,,,,
ORD00020,Beverages,Soft Drinks,West,Markapur,Andhra Pradesh,18894,13571.06,76,5322.94,28.17,0.231666667,4/28/2024,,,,,,,,
ORD00021,Oil & Masala,Masalas,East,Eluru,Andhra Pradesh,18876,14699.59,76,4176.41,22.13,0.226923077,9/7/2022,,,,,,,,
ORD00022,Oil & Masala,Masalas,East,Cumbum,Andhra Pradesh,18798,14850,75,3948,21,0.226923077,10/30/2022,,,,,,,,
ORD00023,Oil & Masala,Spices,West,Viluppuram,Andhra Pradesh,18556,14169.44,74,4386.56,23.64,0.227272727,7/19/2023,,,,,,,,
ORD00024,Beverages,Health Drinks,East,Eluru,Andhra Pradesh,18541,14019.45,74,4521.55,24.39,0.204,1/10/2023,,,,,,,,
ORD00025,Beverages,Soft Drinks,East,Cumbum,Andhra Pradesh,18536,13005.83,74,5530.17,29.83,0.25,6/4/2024,,,,,,,,
ORD00026,Beverages,Health Drinks,East,Cumbum,Andhra Pradesh,18536,13732.83,74,4803.17,25.91,0.232727273,5/29/2023,,,,,,,,
ORD00027,"Eggs, Meat & Fish",Eggs,West,Ongole,Andhra Pradesh,18524,14410.96,74,4113.04,22.2,0.238333333,4/5/2023,,,,,,,,
ORD00028,"Eggs, Meat & Fish",Fish,West,Anathapuram,Andhra Pradesh,18502,12880.47,74,5621.53,30.38,0.1975,3/3/2024,,,,,,,,
ORD00029,Oil & Masala,Masalas,West,Ramanadhapuram,Andhra Pradesh,18121,14784.56,72,3336.44,18.41,0.239090909,7/19/2023,,,,,,,,
ORD00030,"Eggs, Meat & Fish",Mutton,West,Ongole,Andhra Pradesh,18063,13881.29,72,4181.71,23.15,0.229,5/22/2023,,,,,,,,
ORD00031,Beverages,Soft Drinks,West,Kadiri,Andhra Pradesh,18059,13359.34,72,4699.66,26.02,0.18,1/4/2024,,,,,,,,
ORD00032,Beverages,Health Drinks,East,Adoni,Andhra Pradesh,17800,12317.88,71,5482.12,30.8,0.227,1/7/2022,,,,,,,,
ORD00033,Snacks,Cookies,West,Kodmur,Andhra Pradesh,17746,13076.47,71,4669.53,26.31,0.189090909,2/8/2024,,,,,,,,
ORD00034,Bakery,Cakes,West,Dharmavaram,Andhra Pradesh,17645,13239.44,71,4405.56,24.97,0.198,12/15/2022,,,,,,,,
ORD00035,Snacks,Chocolates,Central,Kadiri,Andhra Pradesh,17460,13965.81,70,3494.19,20.01,0.246363636,1/29/2024,,,,,,,,
ORD00036,Beverages,Health Drinks,West,Anathapuram,Andhra Pradesh,17319,12329.04,69,4989.96,28.81,0.251538462,2/28/2022,,,,,,,,
ORD00037,Beverages,Soft Drinks,East,Prakasham,Andhra Pradesh,17263,13181.73,69,4081.27,23.64,0.233846154,12/26/2023,,,,,,,,
ORD00038,Snacks,Noodles,Central,Vizag,Andhra Pradesh,17113,11730.54,68,5382.46,31.45,0.236363636,11/20/2023,,,,,,,,
ORD00039,Bakery,Cakes,West,Guntur,Andhra Pradesh,17049,11717.36,68,5331.64,31.27,0.22,12/3/2023,,,,,,,,
ORD00040,"Eggs, Meat & Fish",Eggs,East,Thanda,Andhra Pradesh,16918,13678.61,68,3239.39,19.15,0.229166667,8/21/2022,,,,,,,,
ORD00041,Snacks,Cookies,West,Vizag,Andhra Pradesh,16867,12987.35,67,3879.65,23,0.217,4/11/2022,,,,,,,,
ORD00042,"Eggs, Meat & Fish",Mutton,West,Prakasham,Andhra Pradesh,16821,12231.03,67,4589.97,27.29,0.251,10/2/2022,,,,,,,,
ORD00043,Beverages,Health Drinks,East,Prakasham,Andhra Pradesh,16795,14079.37,67,2715.63,16.17,0.213,6/8/2023,,,,,,,,
ORD00044,Beverages,Soft Drinks,West,Kurnool,Andhra Pradesh,16766,11874.83,67,4891.17,29.17,0.287777778,5/16/2022,,,,,,,,
ORD00045,Snacks,Cookies,East,Vizag,Andhra Pradesh,16697,12928.69,67,3768.31,22.57,0.185384615,5/31/2024,,,,,,,,
ORD00046,Bakery,Biscuits,East,Adoni,Andhra Pradesh,16573,12510.21,66,4062.79,24.51,0.212222222,2/4/2023,,,,,,,,
ORD00047,Beverages,Health Drinks,East,Vellore,Andhra Pradesh,16468,11876,66,4592,27.88,0.189,10/25/2023,,,,,,,,
ORD00048,"Eggs, Meat & Fish",Chicken,East,Krishnagiri,Andhra Pradesh,16465,13780.51,66,2684.49,16.3,0.242222222,9/29/2024,,,,,,,,
ORD00049,Snacks,Cookies,East,Anathapuram,Andhra Pradesh,16452,11570.4,66,4881.6,29.67,0.1625,5/12/2023,,,,,,,,
ORD00050,Oil & Masala,Masalas,West,Visakhapatnam,Andhra Pradesh,16429,12199.18,66,4229.82,25.75,0.197272727,7/28/2022,,,,,,,,
ORD00051,Beverages,Health Drinks,West,Prakasham,Andhra Pradesh,16400,10632.85,66,5767.15,35.17,0.192,8/10/2024,,,,,,,,
ORD00052,Bakery,Breads & Buns,West,Visakhapatnam,Andhra Pradesh,16317,11414.71,65,4902.29,30.04,0.213636364,4/10/2022,,,,,,,,
ORD00053,Oil & Masala,Edible Oil & Ghee,East,Kanyakumari,Andhra Pradesh,16281,11745.97,65,4535.03,27.85,0.245,8/20/2022,,,,,,,,
ORD00054,Beverages,Health Drinks,East,Kanyakumari,Andhra Pradesh,16234,12298.91,65,3935.09,24.24,0.224,7/29/2024,,,,,,,,
ORD00055,Beverages,Soft Drinks,Central,Ramanadhapuram,Andhra Pradesh,16234,10544.85,65,5689.15,35.04,0.271111111,7/20/2024,,,,,,,,
ORD00056,Beverages,Health Drinks,Central,Ramanadhapuram,Andhra Pradesh,16130,11435.12,65,4694.88,29.11,0.244,9/20/2023,,,,,,,,
ORD00057,Snacks,Cookies,East,Ongole,Andhra Pradesh,16057,12015.89,64,4041.11,25.17,0.217,2/3/2022,,,,,,,,
ORD00058,Beverages,Health Drinks,East,Dhone,Andhra Pradesh,16010,12516.82,64,3493.18,21.82,0.234545455,9/6/2022,,,,,,,,
ORD00059,Bakery,Biscuits,West,Kodmur,Andhra Pradesh,15956,12395.5,64,3560.5,22.31,0.248181818,8/13/2023,,,,,,,,
ORD00060,Beverages,Soft Drinks,East,Visakhapatnam,Andhra Pradesh,15935,12313.51,64,3621.49,22.73,0.213636364,9/7/2023,,,,,,,,
ORD00061,Beverages,Soft Drinks,Central,Kurnool,Andhra Pradesh,15917,11951.98,64,3965.02,24.91,0.2325,11/27/2023,,,,,,,,
ORD00062,Oil & Masala,Masalas,East,Vizag,Andhra Pradesh,15865,12609.02,63,3255.98,20.52,0.21,2/1/2024,,,,,,,,
ORD00063,Food Grains,Rice,West,Nandyal,Andhra Pradesh,15863,11405.29,63,4457.71,28.1,0.243333333,7/7/2023,,,,,,,,
ORD00064,Bakery,Breads & Buns,East,Ballari,Andhra Pradesh,15859,12025.91,63,3833.09,24.17,0.245,3/25/2023,,,,,,,,
ORD00065,Beverages,Health Drinks,South,Ramanadhapuram,Andhra Pradesh,15836,13070.72,63,2765.28,17.46,0.276666667,12/7/2024,,,,,,,,
ORD00066,Snacks,Noodles,East,Guntur,Andhra Pradesh,15831,12558.44,63,3272.56,20.67,0.236,6/8/2022,,,,,,,,
ORD00067,Food Grains,Rice,West,Vellore,Andhra Pradesh,15804,11761.92,63,4042.08,25.58,0.218888889,11/17/2024,,,,,,,,
ORD00068,Snacks,Chocolates,West,Nandyal,Andhra Pradesh,15637,10342.89,63,5294.11,33.86,0.22,2/19/2024,,,,,,,,
ORD00069,Bakery,Cakes,West,Nelluru,Andhra Pradesh,15472,11086.62,62,4385.38,28.34,0.25,9/14/2023,,,,,,,,
ORD00070,Bakery,Breads & Buns,West,Guntur,Andhra Pradesh,15306,11295.55,61,4010.45,26.2,0.247777778,9/17/2022,,,,,,,,
ORD00071,Snacks,Cookies,West,Kurnool,Andhra Pradesh,15304,11035.99,61,4268.01,27.89,0.221,12/19/2024,,,,,,,,
ORD00072,Beverages,Health Drinks,West,Visakhapatnam,Andhra Pradesh,15297,11726.16,61,3570.84,23.34,0.247272727,4/5/2024,,,,,,,,
ORD00073,Oil & Masala,Edible Oil & Ghee,West,Dhone,Andhra Pradesh,15263,10435.31,61,4827.69,31.63,0.235,6/1/2024,,,,,,,,
ORD00074,Food Grains,Organic Staples,East,Kadiri,Andhra Pradesh,15233,10389.6,61,4843.4,31.8,0.2375,7/8/2022,,,,,,,,
ORD00075,Snacks,Cookies,West,Vellore,Andhra Pradesh,15198,11691.17,61,3506.83,23.07,0.246666667,10/3/2023,,,,,,,,
ORD00076,Snacks,Cookies,East,Ramanadhapuram,Andhra Pradesh,15142,10369.96,61,4772.04,31.52,0.215454545,12/13/2022,,,,,,,,
ORD00077,Bakery,Biscuits,West,Kanyakumari,Andhra Pradesh,15022,11489.68,60,3532.32,23.51,0.288888889,11/6/2024,,,,,,,,
ORD00078,Snacks,Noodles,East,Dhone,Andhra Pradesh,15001,10745.6,60,4255.4,28.37,0.205,4/18/2024,,,,,,,,
ORD00079,Bakery,Cakes,West,Nandyal,Andhra Pradesh,14983,11763.34,60,3219.66,21.49,0.227142857,4/23/2023,,,,,,,,
ORD00080,Beverages,Health Drinks,West,Guntur,Andhra Pradesh,14872,10879.05,59,3992.95,26.85,0.225833333,3/10/2024,,,,,,,,
ORD00081,Beverages,Health Drinks,Central,Visakhapatnam,Andhra Pradesh,14838,11375.89,59,3462.11,23.33,0.227777778,1/10/2022,,,,,,,,
ORD00082,Snacks,Chocolates,East,Viluppuram,Andhra Pradesh,14805,11657.66,59,3147.34,21.26,0.200909091,11/17/2023,,,,,,,,
ORD00083,Beverages,Health Drinks,Central,Thanda,Andhra Pradesh,14797,12067.19,59,2729.81,18.45,0.184444444,4/23/2022,,,,,,,,
ORD00084,Beverages,Health Drinks,West,Adoni,Andhra Pradesh,14796,11004.45,59,3791.55,25.63,0.253333333,8/3/2022,,,,,,,,
ORD00085,Beverages,Soft Drinks,Central,Anathapuram,Andhra Pradesh,14791,10532.45,59,4258.55,28.79,0.224,6/27/2022,,,,,,,,
ORD00086,"Eggs, Meat & Fish",Mutton,East,Ramanadhapuram,Andhra Pradesh,14764,11609.6,59,3154.4,21.37,0.216,1/31/2022,,,,,,,,
ORD00087,Oil & Masala,Masalas,East,Ballari,Andhra Pradesh,14749,11101.39,59,3647.61,24.73,0.21625,7/16/2023,,,,,,,,
ORD00088,Fruits & Veggies,Fresh Fruits,East,Kanyakumari,Andhra Pradesh,14749,10954.93,59,3794.07,25.72,0.255555556,10/4/2022,,,,,,,,
ORD00089,Bakery,Biscuits,West,Kadiri,Andhra Pradesh,14726,10491.02,59,4234.98,28.76,0.214,1/24/2023,,,,,,,,
ORD00090,Bakery,Breads & Buns,West,Vellore,Andhra Pradesh,14719,10472.89,59,4246.11,28.85,0.211111111,11/25/2024,,,,,,,,
ORD00091,Oil & Masala,Masalas,West,Dharmavaram,Andhra Pradesh,14689,11839.84,59,2849.16,19.4,0.222857143,11/4/2024,,,,,,,,
ORD00092,Bakery,Biscuits,West,Ballari,Andhra Pradesh,14684,10299.01,59,4384.99,29.86,0.178888889,7/7/2022,,,,,,,,
ORD00093,Beverages,Soft Drinks,West,Nelluru,Andhra Pradesh,14680,11515,59,3165,21.56,0.222,11/27/2024,,,,,,,,
ORD00094,Snacks,Chocolates,West,Guntur,Andhra Pradesh,14668,10706.23,59,3961.77,27.01,0.246,8/11/2022,,,,,,,,
ORD00095,Food Grains,Dals & Pulses,West,Anathapuram,Andhra Pradesh,14491,11102.73,58,3388.27,23.38,0.217777778,1/19/2024,,,,,,,,
ORD00096,Beverages,Soft Drinks,West,Kodmur,Andhra Pradesh,14482,10363.52,58,4118.48,28.44,0.213,7/23/2024,,,,,,,,
ORD00097,Bakery,Breads & Buns,East,Dhone,Andhra Pradesh,14412,10432.31,58,3979.69,27.61,0.251111111,2/26/2024,,,,,,,,
ORD00098,Snacks,Cookies,Central,Kanyakumari,Andhra Pradesh,14409,11634.67,58,2774.33,19.25,0.216666667,1/6/2022,,,,,,,,
ORD00099,Oil & Masala,Masalas,West,Kadiri,Andhra Pradesh,14405,11787.93,58,2617.07,18.17,0.194,9/29/2023,,,,,,,,
ORD00100,Food Grains,Atta & Flour,East,Vizag,Andhra Pradesh,14403,11921.46,58,2481.54,17.23,0.264444444,6/13/2023,,,,,,,,
ORD00101,Snacks,Cookies,West,Markapur,Andhra Pradesh,14339,10877.22,57,3461.78,24.14,0.251111111,3/28/2023,,,,,,,,
ORD00102,Bakery,Breads & Buns,West,Ongole,Andhra Pradesh,14314,10093.63,57,4220.37,29.48,0.181111111,4/16/2023,,,,,,,,
ORD00103,Beverages,Health Drinks,West,Eluru,Andhra Pradesh,14308,10614.86,57,3693.14,25.81,0.227272727,12/27/2022,,,,,,,,
ORD00104,Bakery,Cakes,West,Thanda,Andhra Pradesh,14293,10718.11,57,3574.89,25.01,0.233333333,1/25/2024,,,,,,,,
ORD00105,Bakery,Breads & Buns,West,Ballari,Andhra Pradesh,14288,11318.11,57,2969.89,20.79,0.199,9/2/2023,,,,,,,,
ORD00106,Oil & Masala,Spices,West,Vizag,Andhra Pradesh,14270,10447.05,57,3822.95,26.79,0.244444444,11/12/2022,,,,,,,,
ORD00107,Snacks,Cookies,West,Kadiri,Andhra Pradesh,14260,10649.37,57,3610.63,25.32,0.2275,9/28/2023,,,,,,,,
ORD00108,Beverages,Soft Drinks,West,Vizag,Andhra Pradesh,14252,10728.32,57,3523.68,24.72,0.237777778,11/26/2022,,,,,,,,
ORD00109,Beverages,Health Drinks,Central,Ballari,Andhra Pradesh,14243,10481.91,57,3761.09,26.41,0.257,3/25/2023,,,,,,,,
ORD00110,Snacks,Noodles,South,Krishnagiri,Andhra Pradesh,14243,10032.58,57,4210.42,29.56,0.207272727,5/9/2023,,,,,,,,
ORD00111,Beverages,Health Drinks,Central,Anathapuram,Andhra Pradesh,14230,10196.45,57,4033.55,28.35,0.225,12/8/2024,,,,,,,,
ORD00112,Bakery,Cakes,Central,Kadiri,Andhra Pradesh,14229,10788.99,57,3440.01,24.18,0.285555556,2/13/2022,,,,,,,,
ORD00113,Food Grains,Rice,West,Kodmur,Andhra Pradesh,14214,10964.83,57,3249.17,22.86,0.268888889,7/27/2024,,,,,,,,
ORD00114,"Eggs, Meat & Fish",Fish,West,Kodmur,Andhra Pradesh,14192,10547.48,57,3644.52,25.68,0.22625,11/11/2024,,,,,,,,
ORD00115,Oil & Masala,Spices,West,Kanyakumari,Andhra Pradesh,14168,10302.99,57,3865.01,27.28,0.228,5/2/2024,,,,,,,,
ORD00116,Fruits & Veggies,Organic Fruits,West,Viluppuram,Andhra Pradesh,14115,10996.24,56,3118.76,22.1,0.29,6/11/2024,,,,,,,,
ORD00117,Food Grains,Organic Staples,West,Dharmavaram,Andhra Pradesh,14110,10765.86,56,3344.14,23.7,0.27,7/27/2024,,,,,,,,
ORD00118,Fruits & Veggies,Organic Vegetables,West,Guntur,Andhra Pradesh,14098,10137.43,56,3960.57,28.09,0.256363636,11/17/2022,,,,,,,,
ORD00119,Bakery,Biscuits,East,Vellore,Andhra Pradesh,14069,10065.9,56,4003.1,28.45,0.251111111,12/10/2024,,,,,,,,
ORD00120,Oil & Masala,Spices,East,Eluru,Andhra Pradesh,14052,10836.41,56,3215.59,22.88,0.21,12/19/2022,,,,,,,,
ORD00121,Fruits & Veggies,Fresh Fruits,West,Visakhapatnam,Andhra Pradesh,14006,10210.41,56,3795.59,27.1,0.248,10/10/2023,,,,,,,,
ORD00122,Beverages,Health Drinks,West,Viluppuram,Andhra Pradesh,13995,10417.53,56,3577.47,25.56,0.241,8/1/2023,,,,,,,,
ORD00123,Snacks,Chocolates,West,Vellore,Andhra Pradesh,13984,10271.88,56,3712.12,26.55,0.22375,4/22/2022,,,,,,,,
ORD00124,Bakery,Biscuits,West,Krishnagiri,Andhra Pradesh,13941,10692.76,56,3248.24,23.3,0.252,2/15/2023,,,,,,,,
ORD00125,Snacks,Noodles,Central,Kanyakumari,Andhra Pradesh,13929,10400.24,56,3528.76,25.33,0.23,2/3/2022,,,,,,,,
ORD00126,Bakery,Breads & Buns,West,Kodmur,Andhra Pradesh,13899,10779.95,56,3119.05,22.44,0.264444444,5/20/2023,,,,,,,,
ORD00127,Beverages,Soft Drinks,East,Dhone,Andhra Pradesh,13853,11609.1,55,2243.9,16.2,0.245555556,3/16/2022,,,,,,,,
ORD00128,Food Grains,Organic Staples,East,Eluru,Andhra Pradesh,13820,8744.1,55,5075.9,36.73,0.22625,12/25/2024,,,,,,,,
ORD00129,Food Grains,Organic Staples,East,Ongole,Andhra Pradesh,13780,10743.86,55,3036.14,22.03,0.224444444,12/17/2022,,,,,,,,
ORD00130,Snacks,Cookies,West,Anathapuram,Andhra Pradesh,13778,10510.45,55,3267.55,23.72,0.258,10/25/2024,,,,,,,,
ORD00131,Beverages,Health Drinks,East,Viluppuram,Andhra Pradesh,13769,9131.27,55,4637.73,33.68,0.27,9/1/2024,,,,,,,,
ORD00132,Bakery,Biscuits,West,Nandyal,Andhra Pradesh,13760,10570.51,55,3189.49,23.18,0.176666667,12/23/2024,,,,,,,,
ORD00133,"Eggs, Meat & Fish",Eggs,East,Kurnool,Andhra Pradesh,13754,9351.18,55,4402.82,32.01,0.224285714,7/28/2022,,,,,,,,
ORD00134,Bakery,Cakes,Central,Adoni,Andhra Pradesh,13686,11045.5,55,2640.5,19.29,0.22,1/4/2022,,,,,,,,
ORD00135,"Eggs, Meat & Fish",Eggs,West,Visakhapatnam,Andhra Pradesh,13675,10470.49,55,3204.51,23.43,0.17375,8/5/2022,,,,,,,,
ORD00136,Oil & Masala,Spices,East,Kanyakumari,Andhra Pradesh,13662,9894.57,55,3767.43,27.58,0.2025,9/3/2023,,,,,,,,
ORD00137,Oil & Masala,Masalas,East,Kanyakumari,Andhra Pradesh,13657,11400.03,55,2256.97,16.53,0.210833333,11/2/2022,,,,,,,,
ORD00138,Beverages,Soft Drinks,West,Krishnagiri,Andhra Pradesh,13616,10378.01,54,3237.99,23.78,0.214285714,11/14/2022,,,,,,,,
ORD00139,Fruits & Veggies,Organic Vegetables,West,Prakasham,Andhra Pradesh,13615,10449.72,54,3165.28,23.25,0.26,12/24/2023,,,,,,,,
ORD00140,Bakery,Biscuits,Central,Viluppuram,Andhra Pradesh,13606,9923.4,54,3682.6,27.07,0.216666667,4/15/2022,,,,,,,,
ORD00141,Oil & Masala,Edible Oil & Ghee,Central,Cumbum,Andhra Pradesh,13597,11407.52,54,2189.48,16.1,0.2775,9/24/2023,,,,,,,,
ORD00142,Oil & Masala,Edible Oil & Ghee,West,Adoni,Andhra Pradesh,13593,10509.43,54,3083.57,22.68,0.238888889,7/31/2024,,,,,,,,
ORD00143,Fruits & Veggies,Fresh Fruits,West,Adoni,Andhra Pradesh,13592,10704.08,54,2887.92,21.25,0.272727273,5/3/2022,,,,,,,,
ORD00144,Bakery,Biscuits,West,Dharmavaram,Andhra Pradesh,13591,10191.04,54,3399.96,25.02,0.178571429,10/6/2023,,,,,,,,
ORD00145,Oil & Masala,Masalas,West,Cumbum,Andhra Pradesh,13585,10284.5,54,3300.5,24.3,0.17,7/13/2023,,,,,,,,
ORD00146,Bakery,Biscuits,West,Vellore,Andhra Pradesh,13523,9885.87,54,3637.13,26.9,0.241111111,9/29/2023,,,,,,,,
ORD00147,Bakery,Cakes,West,Kanyakumari,Andhra Pradesh,13509,9839.57,54,3669.43,27.16,0.225,12/8/2022,,,,,,,,
ORD00148,Bakery,Breads & Buns,West,Vizag,Andhra Pradesh,13503,10132.89,54,3370.11,24.96,0.206666667,2/8/2022,,,,,,,,
ORD00149,Beverages,Health Drinks,Central,Viluppuram,Andhra Pradesh,13493,11082.62,54,2410.38,17.86,0.25,8/21/2023,,,,,,,,
ORD00150,Food Grains,Rice,West,Visakhapatnam,Andhra Pradesh,13488,9862.18,54,3625.82,26.88,0.195,10/6/2022,,,,,,,,
ORD00151,Oil & Masala,Masalas,East,Dhone,Andhra Pradesh,13482,10545.12,54,2936.88,21.78,0.205555556,8/18/2023,,,,,,,,
ORD00152,Snacks,Noodles,West,Eluru,Andhra Pradesh,13473,8822.63,54,4650.37,34.52,0.22,2/14/2024,,,,,,,,
ORD00153,Snacks,Chocolates,West,Kanyakumari,Andhra Pradesh,13470,10179.83,54,3290.17,24.43,0.218571429,6/26/2022,,,,,,,,
ORD00154,Bakery,Cakes,West,Visakhapatnam,Andhra Pradesh,13463,9880.81,54,3582.19,26.61,0.195555556,4/13/2023,,,,,,,,
ORD00155,Oil & Masala,Spices,East,Dhone,Andhra Pradesh,13443,10326.38,54,3116.62,23.18,0.23875,4/28/2022,,,,,,,,
ORD00156,Oil & Masala,Edible Oil & Ghee,Central,Guntur,Andhra Pradesh,13395,9319.21,54,4075.79,30.43,0.232857143,1/25/2023,,,,,,,,
ORD00157,Food Grains,Organic Staples,West,Visakhapatnam,Andhra Pradesh,13390,9553.43,54,3836.57,28.65,0.261428571,10/10/2024,,,,,,,,
